Voyage No.,Avg Speed (Voyage)
01 B,10.9
02 B,10.8
03 B,5.4
04 B,10.6
05 B,10.81
06 B,12.29
07 B,10.15
08B,11.13
09B,11.28
10B,10.22
11B,10.59
12B,8.85
