Voyage No.,Avg Speed (in Good weather)
01 B,11.1
02 B,10.7
03 B,5.4
04 B,10.6
05 B,10.81
06 B,12.29
07 B,10.14
08B,11.13
09B,11.28
10B,10.39
11B,10.73
12B,10.14
