Voyage No.,Avg Speed (in Good weather)
01 L,10.3
02 L,9.9
03 L,10.2
04 L,10.3
05 L,9.3
06 L,10.7
07 L,10.8
08L,9.7
09L,9.6
10L,8.23
11L,10.23
