UTC Date & Time,Slip (%)
2021-08-13,26.83
2021-08-14,19.15
2021-08-15,20.65
2021-08-16,20.31
2021-08-16,19.76
2021-08-30,4.11
2021-08-31,25.38
2021-09-01,25.17
2021-09-02,23.27
2021-09-03,19.23
2021-09-28,19.7
2021-09-29,25.91
2021-09-29,30.12
2021-10-17,14.67
2021-10-18,24.23
2021-10-19,22.18
2021-10-20,23.71
2021-10-20,26.47
2021-10-21,25.53
2021-10-22,16.49
2021-10-23,21.46
2021-10-23,21.89
2021-11-05,14.58
2021-11-06,17.69
2021-11-07,17.53
2021-11-08,15.23
2021-11-08,23.41
2021-12-10,16.9
2021-12-10,18.73
2021-12-22,25.46
2021-12-24,28.64
2021-12-25,15.45
2021-12-25,27.25
2021-12-28,26.93
2021-12-29,23.28
2021-12-30,21.38
2021-12-30,36.26
2022-01-19,8.92
2022-01-20,18.99
2022-01-21,18.08
2022-01-22,22.1
2022-01-23,22.11
2022-01-24,23.43
2022-01-25,16.87
2022-01-26,20.33
2022-02-14,21.65
2022-02-18,14.29
2022-02-18,17.78
2022-04-03,17.65
2022-04-03,4.48
2022-04-16,15.88
2022-04-30,20.18
2022-05-01,19.45
2022-05-02,19.07
2022-05-02,22.7
2022-05-09,20.06
2022-05-10,21.98
2022-05-11,17.27
2022-05-12,18.06
2022-05-13,22.16
2022-05-14,22.69
2022-05-15,20.28
2022-05-16,21.26
2022-05-16,17.47
2022-05-18,11.68
2022-05-19,20.59
2022-05-20,29.13
2022-05-21,28.04
2022-05-22,31.56
2022-05-23,34.19
2022-05-23,36.01
2022-06-08,19.5
2022-06-09,16.56
2022-06-10,20.83
2022-06-11,20.1
2022-06-12,16.24
2022-06-13,23.08
2022-06-14,12.2
2022-06-15,21.49
2022-06-16,15.53
2022-06-16,12.71
2022-07-02,27.13
2022-07-03,45.5
2022-07-04,40.45
2022-07-05,36.4
2022-07-06,25.28
2022-07-07,21.1
2022-07-07,13.64
