Voyage No.,Avg Speed (Voyage)
01 L,10.2
02 L,9.7
03 L,10.1
04 L,10.2
05 L,9.4
06 L,10.7
07 L,10.8
08L,9.7
09L,9.51
10L,8.04
11L,8.88
